Game,Fc_new,Fc,Fc_delta,Fg,Q_new,Q,Q_delta,Uc_new,Uc,Uc_delta,Ug_new,Ug,Ug_delta,Cc_new,Cc,Cc_delta,Cg_new,Cg,Cg_delta
Godzilla,2000,1300,700,350,60.05,60.033278,0.016722,40.256667,54.15807,-13.901403,74.828333,75.933444,-1.105111,40.256667,35.2027455,5.0539215,48.23189052,48.94420884,-0.712318324
Godzilla,2000,1300,700,420,60.05,60.066556,-0.016556,40.383333,54.013311,-13.629978,64.831667,65.324459,-0.492792,40.383333,35.10865215,5.27468085,50.14604077,50.52720586,-0.381165083
Godzilla,2000,1300,700,480,60.049917,60.049917,0,40.259567,53.966722,-13.707155,58.004992,58.507488,-0.502496,40.259567,35.0783693,5.1811977,51.27513105,51.71932641,-0.444195359
Godzilla,2000,1300,700,543,60.016667,60.033333,-0.016666,40.44,54.035,-13.595,52.241667,52.973333,-0.731666,40.44,35.12275,5.31725,52.241667,52.973333,-0.731666
Godzilla,1500,1400,100,177,42.55,42.562396,-0.012396,34.775,36.895175,-2.120175,99.861667,99.891847,-0.03018,26.08125,25.8266225,0.2546275,32.55159311,32.56143079,-0.00983768
Godzilla,1500,1400,100,266,60.016639,60.05,-0.033361,48.668885,51.511667,-2.842782,95.317804,95.12,0.197804,36.50166375,36.0581669,0.44349685,46.69343621,46.59653775,0.09689846
Godzilla,1500,1400,100,350,60.033333,60.049917,-0.016584,48.665,51.519135,-2.854135,75.546667,75.727121,-0.180454,36.49875,36.0633945,0.4353555,48.69490506,48.8112198,-0.116314733
Godzilla,1500,1400,100,420,60.016667,60.049917,-0.03325,48.663333,51.404326,-2.740993,64.925,65.086522,-0.161522,36.49749975,35.9830282,0.51447155,50.21823204,50.34316619,-0.124934144
Godzilla,1500,1400,100,480,60.049917,60.033333,0.016584,48.72213,51.366667,-2.644537,58.429285,58.335,0.094285,36.5415975,35.9566669,0.5849306,51.65019669,51.56685083,0.083345856
Godzilla,1500,1400,100,543,60.033278,60.033278,0,48.748752,51.450915,-2.702163,52.787022,52.805324,-0.018302,36.561564,36.0156405,0.5459235,52.787022,52.805324,-0.018302
Godzilla,1600,1400,200,177,42.816667,42.562396,0.254271,33.578333,36.895175,-3.316842,99.918333,99.891847,0.026486,26.8626664,25.8266225,1.0360439,32.57006435,32.56143079,0.008633558
Godzilla,1600,1400,200,266,60,60.05,-0.05,46.648333,51.511667,-4.863334,95.108333,95.12,-0.011667,37.3186664,36.0581669,1.2604995,46.59082243,46.59653775,-0.005715326
Godzilla,1600,1400,200,350,60.033278,60.049917,-0.016639,46.643927,51.519135,-4.875208,75.580699,75.727121,-0.146422,37.3151416,36.0633945,1.2517471,48.71684098,48.8112198,-0.094378821
Godzilla,1600,1400,200,420,60.033333,60.049917,-0.016584,46.726667,51.404326,-4.677659,65.07,65.086522,-0.016522,37.3813336,35.9830282,1.3983054,50.33038674,50.34316619,-0.012779448
Godzilla,1600,1400,200,480,60.016667,60.033333,-0.016666,46.728333,51.366667,-4.638334,58.273333,58.335,-0.061667,37.3826664,35.9566669,1.4259995,51.51233856,51.56685083,-0.054512265
Godzilla,1600,1400,200,543,60.049917,60.033278,0.016639,46.520799,51.450915,-4.930116,52.687188,52.805324,-0.118136,37.2166392,36.0156405,1.2009987,52.687188,52.805324,-0.118136
Godzilla,1700,1400,300,177,42.516667,42.562396,-0.045729,31.856667,36.895175,-5.038508,99.903333,99.891847,0.011486,27.07816695,25.8266225,1.25154445,32.56517485,32.56143079,0.003744055
Godzilla,1700,1400,300,266,60,60.05,-0.05,44.645,51.511667,-6.866667,95.068333,95.12,-0.051667,37.94825,36.0581669,1.8900831,46.57122758,46.59653775,-0.025310169
Godzilla,1700,1400,300,350,60.066667,60.049917,0.01675,44.598333,51.519135,-6.920802,75.535,75.727121,-0.192121,37.90858305,36.0633945,1.84518855,48.6873849,48.8112198,-0.123834899
Godzilla,1700,1400,300,420,60.049917,60.049917,0,44.680532,51.404326,-6.723794,65.144759,65.086522,0.058237,37.9784522,35.9830282,1.995424,50.38821138,50.34316619,0.045045193
Godzilla,1700,1400,300,480,60.033278,60.033333,-0.000055,44.745424,51.366667,-6.621243,58.199667,58.335,-0.135333,38.0336104,35.9566669,2.0769435,51.44721945,51.56685083,-0.119631381
Godzilla,1700,1400,300,543,60.033333,60.033278,0.000055,44.598333,51.450915,-6.852582,52.696667,52.805324,-0.108657,37.90858305,36.0156405,1.89294255,52.696667,52.805324,-0.108657
Godzilla,1800,1400,400,177,42.55,42.562396,-0.012396,30.615,36.895175,-6.280175,99.948333,99.891847,0.056486,27.5535,25.8266225,1.7268775,32.57984335,32.56143079,0.018412564
Godzilla,1800,1400,400,266,60.033278,60.05,-0.016722,43.018303,51.511667,-8.493364,95.101497,95.12,-0.018503,38.7164727,36.0581669,2.6583058,46.58747367,46.59653775,-0.009064085
Godzilla,1800,1400,400,350,60.05,60.049917,0.000083,43.213333,51.519135,-8.305802,75.266667,75.727121,-0.460454,38.8919997,36.0633945,2.8286052,48.51442624,48.8112198,-0.296793554
Godzilla,1800,1400,400,420,60.016639,60.049917,-0.033278,43.519135,51.404326,-7.885191,64.926789,65.086522,-0.159733,39.1672215,35.9830282,3.1841933,50.2196158,50.34316619,-0.123550387
Godzilla,1800,1400,400,480,60.049917,60.033333,0.016584,43.159734,51.366667,-8.206933,58.164725,58.335,-0.170275,38.8437606,35.9566669,2.8870937,51.41633149,51.56685083,-0.150519337
Godzilla,1800,1400,400,543,60.016639,60.033278,-0.016639,43.171381,51.450915,-8.279534,52.499168,52.805324,-0.306156,38.8542429,36.0156405,2.8386024,52.499168,52.805324,-0.306156
Godzilla,1900,1400,500,177,42.445923,42.562396,-0.116473,29.515807,36.895175,-7.379368,99.955075,99.891847,0.063228,28.04001665,25.8266225,2.21339415,32.58204102,32.56143079,0.020610232
Godzilla,1900,1400,500,266,60.016639,60.05,-0.033361,41.582363,51.511667,-9.929304,95.094842,95.12,-0.025158,39.50324485,36.0581669,3.44507795,46.58421358,46.59653775,-0.012324177
Godzilla,1900,1400,500,350,60.05,60.049917,0.000083,41.626667,51.519135,-9.892468,75.233333,75.727121,-0.493788,39.54533365,36.0633945,3.48193915,48.49294024,48.8112198,-0.318279558
Godzilla,1900,1400,500,420,60.016667,60.049917,-0.03325,41.585,51.404326,-9.819326,64.868333,65.086522,-0.218189,39.50575,35.9830282,3.5227218,50.17440122,50.34316619,-0.168764972
Godzilla,1900,1400,500,480,60.033278,60.033333,-0.000055,41.562396,51.366667,-9.804271,58.086522,58.335,-0.248478,39.4842762,35.9566669,3.5276093,51.34720177,51.56685083,-0.219649061
