Game,Fg_new,Fg,Fg_delta,Fc,Q_new,Q,Q_delta,Ug_new,Ug,Ug_delta,Uc_new,Uc,Uc_delta,Cg_new,Cg,Cg_delta,Cc_new,Cc,Cc_delta
Call of Duty,480,177,303,1200,39.4,39.484193,-0.084193,16.345,38.222962,-21.877962,94.56,94.494176,0.065824,14.44861878,12.45941855,1.989200232,56.736,56.6965056,0.0394944
Call of Duty,480,177,303,1300,41.946755,42.183333,-0.236578,17.396007,40.856667,-23.46066,94.199667,94.228333,-0.028666,15.37768575,13.31791908,2.059766669,61.22978355,61.24841645,-0.0186329
Call of Duty,480,177,303,1400,44.126456,44.2,-0.073544,18.415973,42.72,-24.304027,93.881864,93.936667,-0.054803,16.27931315,13.92530387,2.354009282,65.7173048,65.7556669,-0.0383621
Call of Duty,480,177,303,1500,46.416667,46.683333,-0.266666,19.351667,45.188333,-25.836666,93.511667,93.718333,-0.206666,17.10644597,14.7298986,2.376547365,70.13375025,70.28874975,-0.1549995
Call of Duty,480,177,303,1600,49.184692,49.234609,-0.049917,20.447587,47.490849,-27.043262,93.635607,93.618968,0.016639,18.07521503,15.48044249,2.594772536,74.9084856,74.8951744,0.0133112
Call of Duty,480,177,303,1700,51.216667,51.630616,-0.413949,21.266667,49.608985,-28.342318,93.511667,93.56406,-0.052393,18.79926365,16.17088461,2.628379033,79.48491695,79.529451,-0.04453405
Call of Duty,480,177,303,1800,53.066667,53.194676,-0.128009,21.968333,50.921797,-28.953464,93.385,93.439268,-0.054268,19.41952088,16.59881781,2.820703077,84.0465,84.0953412,-0.0488412
Call of Duty,480,177,303,1900,55.016667,55.274542,-0.257875,22.751667,53.018303,-30.266636,93.078333,93.321131,-0.242798,20.11197083,17.28220927,2.829761564,88.42441635,88.65507445,-0.2306581
Call of Duty,480,177,303,2000,56.888519,57.121464,-0.232945,23.535774,54.748752,-31.212978,92.846922,92.851913,-0.004991,20.80510409,17.84627828,2.958825812,92.846922,92.851913,-0.004991
Call of Duty,543,177,366,1200,39.400998,39.484193,-0.083195,15.024958,38.222962,-23.198004,94.464226,94.494176,-0.02995,15.024958,12.45941855,2.565539448,56.6785356,56.6965056,-0.01797
Call of Duty,543,177,366,1300,41.95,42.183333,-0.233333,16.038333,40.856667,-24.818334,94.205,94.228333,-0.023333,16.038333,13.31791908,2.720413923,61.23325,61.24841645,-0.01516645
Call of Duty,543,177,366,1400,44.193012,44.2,-0.006988,16.856905,42.72,-25.863095,93.851913,93.936667,-0.084754,16.856905,13.92530387,2.931601133,65.6963391,65.7556669,-0.0593278
Call of Duty,543,177,366,1500,46.55,46.683333,-0.133333,17.831667,45.188333,-27.356666,93.655,93.718333,-0.063333,17.831667,14.7298986,3.101768398,70.24125,70.28874975,-0.04749975
Call of Duty,543,177,366,1600,49.21797,49.234609,-0.016639,18.856905,47.490849,-28.633944,93.665557,93.618968,0.046589,18.856905,15.48044249,3.376462508,74.9324456,74.8951744,0.0372712
Call of Duty,543,177,366,1700,51.198003,51.630616,-0.432613,19.540765,49.608985,-30.06822,93.53411,93.56406,-0.02995,19.540765,16.17088461,3.369880387,79.5039935,79.529451,-0.0254575
Call of Duty,543,177,366,1800,53,53.194676,-0.194676,20.133333,50.921797,-30.788464,93.435,93.439268,-0.004268,20.133333,16.59881781,3.534515193,84.0915,84.0953412,-0.0038412
Call of Duty,543,177,366,1900,54.958403,55.274542,-0.316139,20.833611,53.018303,-32.184692,93.123128,93.321131,-0.198003,20.833611,17.28220927,3.551401735,88.4669716,88.65507445,-0.18810285
Call of Duty,543,177,366,2000,56.855241,57.121464,-0.266223,21.589018,54.748752,-33.159734,92.85025,92.851913,-0.001663,21.589018,17.84627828,3.742739724,92.85025,92.851913,-0.001663
Call of Duty,350,266,84,1200,39.550749,39.53411,0.016639,20.985025,26.447587,-5.462562,94.567388,94.437604,0.129784,13.52625921,12.95590818,0.570351028,56.7404328,56.6625624,0.0778704
