Game,Fg_new,Fg,Fg_delta,Fc,Q_new,Q,Q_delta,Ug_new,Ug,Ug_delta,Uc_new,Uc,Uc_delta,Cg_new,Cg,Cg_delta,Cc_new,Cc,Cc_delta
Mono 050,480,266,214,1600,37.55,20.95,16.6,100,100,0,3,0,3,88.39779006,48.98710866,39.4106814,2.4,0,2.4
Mono 050,480,266,214,1700,37.53,20.97,16.56,100,100,0,2,0,2,88.39779006,48.98710866,39.4106814,1.7,0,1.7
Mono 050,480,266,214,1800,37.53,20.95,16.58,99,100,-1,1,0,1,87.51381215,48.98710866,38.5267035,0.9,0,0.9
Mono 050,480,266,214,1900,37.54,20.97,16.57,100,99,1,2,0,2,88.39779006,48.49723757,39.90055249,1.9,0,1.9
Mono 050,480,266,214,2000,37.56,20.98,16.58,100,100,0,0,0,0,88.39779006,48.98710866,39.4106814,0,0,0
Mono 050,543,266,277,1200,42.3,20.94,21.36,99,100,-1,8,0,8,99,48.98710866,50.01289134,4.8,0,4.8
Mono 050,543,266,277,1300,42.33,20.95,21.38,100,100,0,7,0,7,100,48.98710866,51.01289134,4.55,0,4.55
Mono 050,543,266,277,1400,42.32,20.94,21.38,100,100,0,7,0,7,100,48.98710866,51.01289134,4.9,0,4.9
Mono 050,543,266,277,1500,42.31,20.93,21.38,100,100,0,6,0,6,100,48.98710866,51.01289134,4.5,0,4.5
Mono 050,543,266,277,1600,42.3,20.95,21.35,99,100,-1,4,0,4,99,48.98710866,50.01289134,3.2,0,3.2
Mono 050,543,266,277,1700,42.31,20.97,21.34,100,100,0,5,0,5,100,48.98710866,51.01289134,4.25,0,4.25
Mono 050,543,266,277,1800,42.32,20.95,21.37,100,100,0,5,0,5,100,48.98710866,51.01289134,4.5,0,4.5
Mono 050,543,266,277,1900,42.32,20.97,21.35,99,99,0,4,0,4,99,48.49723757,50.50276243,3.8,0,3.8
Mono 050,543,266,277,2000,42.33,20.98,21.35,100,100,0,4,0,4,100,48.98710866,51.01289134,4,0,4
Mono 050,420,350,70,1200,32.95,27.49,5.46,99,99,0,2,0,2,76.57458564,63.8121547,12.76243094,1.2,0,1.2
Mono 050,420,350,70,1300,32.96,27.5,5.46,99,100,-1,1,0,1,76.57458564,64.45672192,12.11786372,0.65,0,0.65
Mono 050,420,350,70,1400,32.96,27.51,5.45,100,100,0,1,0,1,77.3480663,64.45672192,12.89134438,0.7,0,0.7
Mono 050,420,350,70,1500,32.96,27.5,5.46,100,100,0,0,0,0,77.3480663,64.45672192,12.89134438,0,0,0
Mono 050,420,350,70,1600,32.94,27.51,5.43,99,100,-1,0,0,0,76.57458564,64.45672192,12.11786372,0,0,0
Mono 050,420,350,70,1700,32.95,27.49,5.46,99,100,-1,0,0,0,76.57458564,64.45672192,12.11786372,0,0,0
Mono 050,420,350,70,1800,32.95,27.5,5.45,100,100,0,0,0,0,77.3480663,64.45672192,12.89134438,0,0,0
Mono 050,420,350,70,1900,32.96,27.54,5.42,100,100,0,0,0,0,77.3480663,64.45672192,12.89134438,0,0,0
Mono 050,420,350,70,2000,32.95,27.54,5.41,99,100,-1,0,0,0,76.57458564,64.45672192,12.11786372,0,0,0
Mono 050,480,350,130,1200,37.53,27.49,10.04,100,99,1,3,0,3,88.39779006,63.8121547,24.58563536,1.8,0,1.8
Mono 050,480,350,130,1300,37.54,27.5,10.04,99,100,-1,3,0,3,87.51381215,64.45672192,23.05709024,1.95,0,1.95
Mono 050,480,350,130,1400,37.55,27.51,10.04,99,100,-1,3,0,3,87.51381215,64.45672192,23.05709024,2.1,0,2.1
Mono 050,480,350,130,1500,37.53,27.5,10.03,100,100,0,2,0,2,88.39779006,64.45672192,23.94106814,1.5,0,1.5
Mono 050,480,350,130,1600,37.55,27.51,10.04,100,100,0,3,0,3,88.39779006,64.45672192,23.94106814,2.4,0,2.4
Mono 050,480,350,130,1700,37.53,27.49,10.04,100,100,0,2,0,2,88.39779006,64.45672192,23.94106814,1.7,0,1.7
Mono 050,480,350,130,1800,37.53,27.5,10.03,99,100,-1,1,0,1,87.51381215,64.45672192,23.05709024,0.9,0,0.9
Mono 050,480,350,130,1900,37.54,27.54,10,100,100,0,2,0,2,88.39779006,64.45672192,23.94106814,1.9,0,1.9
Mono 050,480,350,130,2000,37.56,27.54,10.02,100,100,0,0,0,0,88.39779006,64.45672192,23.94106814,0,0,0
Mono 050,543,350,193,1200,42.3,27.49,14.81,99,99,0,8,0,8,99,63.8121547,35.1878453,4.8,0,4.8
Mono 050,543,350,193,1300,42.33,27.5,14.83,100,100,0,7,0,7,100,64.45672192,35.54327808,4.55,0,4.55
Mono 050,543,350,193,1400,42.32,27.51,14.81,100,100,0,7,0,7,100,64.45672192,35.54327808,4.9,0,4.9
Mono 050,543,350,193,1500,42.31,27.5,14.81,100,100,0,6,0,6,100,64.45672192,35.54327808,4.5,0,4.5
Mono 050,543,350,193,1600,42.3,27.51,14.79,99,100,-1,4,0,4,99,64.45672192,34.54327808,3.2,0,3.2
Mono 050,543,350,193,1700,42.31,27.49,14.82,100,100,0,5,0,5,100,64.45672192,35.54327808,4.25,0,4.25
Mono 050,543,350,193,1800,42.32,27.5,14.82,100,100,0,5,0,5,100,64.45672192,35.54327808,4.5,0,4.5
Mono 050,543,350,193,1900,42.32,27.54,14.78,99,100,-1,4,0,4,99,64.45672192,34.54327808,3.8,0,3.8
Mono 050,543,350,193,2000,42.33,27.54,14.79,100,100,0,4,0,4,100,64.45672192,35.54327808,4,0,4
Mono 050,480,420,60,1200,37.53,32.95,4.58,100,99,1,3,2,1,88.39779006,76.57458564,11.82320442,1.8,1.2,0.6
Mono 050,480,420,60,1300,37.54,32.96,4.58,99,99,0,3,1,2,87.51381215,76.57458564,10.93922652,1.95,0.65,1.3
Mono 050,480,420,60,1400,37.55,32.96,4.59,99,100,-1,3,1,2,87.51381215,77.3480663,10.16574586,2.1,0.7,1.4
Mono 050,480,420,60,1500,37.53,32.96,4.57,100,100,0,2,0,2,88.39779006,77.3480663,11.04972376,1.5,0,1.5
Mono 050,480,420,60,1600,37.55,32.94,4.61,100,99,1,3,0,3,88.39779006,76.57458564,11.82320442,2.4,0,2.4
Mono 050,480,420,60,1700,37.53,32.95,4.58,100,99,1,2,0,2,88.39779006,76.57458564,11.82320442,1.7,0,1.7
Mono 050,480,420,60,1800,37.53,32.95,4.58,99,100,-1,1,0,1,87.51381215,77.3480663,10.16574586,0.9,0,0.9
Mono 050,480,420,60,1900,37.54,32.96,4.58,100,100,0,2,0,2,88.39779006,77.3480663,11.04972376,1.9,0,1.9
Mono 050,480,420,60,2000,37.56,32.95,4.61,100,99,1,0,0,0,88.39779006,76.57458564,11.82320442,0,0,0
Mono 050,543,420,123,1200,42.3,32.95,9.35,99,99,0,8,2,6,99,76.57458564,22.42541436,4.8,1.2,3.6
Mono 050,543,420,123,1300,42.33,32.96,9.37,100,99,1,7,1,6,100,76.57458564,23.42541436,4.55,0.65,3.9
Mono 050,543,420,123,1400,42.32,32.96,9.36,100,100,0,7,1,6,100,77.3480663,22.6519337,4.9,0.7,4.2
Mono 050,543,420,123,1500,42.31,32.96,9.35,100,100,0,6,0,6,100,77.3480663,22.6519337,4.5,0,4.5
Mono 050,543,420,123,1600,42.3,32.94,9.36,99,99,0,4,0,4,99,76.57458564,22.42541436,3.2,0,3.2
Mono 050,543,420,123,1700,42.31,32.95,9.36,100,99,1,5,0,5,100,76.57458564,23.42541436,4.25,0,4.25
Mono 050,543,420,123,1800,42.32,32.95,9.37,100,100,0,5,0,5,100,77.3480663,22.6519337,4.5,0,4.5
Mono 050,543,420,123,1900,42.32,32.96,9.36,99,100,-1,4,0,4,99,77.3480663,21.6519337,3.8,0,3.8
Mono 050,543,420,123,2000,42.33,32.95,9.38,100,99,1,4,0,4,100,76.57458564,23.42541436,4,0,4
Mono 050,543,480,63,1200,42.3,37.53,4.77,99,100,-1,8,3,5,99,88.39779006,10.60220994,4.8,1.8,3
Mono 050,543,480,63,1300,42.33,37.54,4.79,100,99,1,7,3,4,100,87.51381215,12.48618785,4.55,1.95,2.6
Mono 050,543,480,63,1400,42.32,37.55,4.77,100,99,1,7,3,4,100,87.51381215,12.48618785,4.9,2.1,2.8
Mono 050,543,480,63,1500,42.31,37.53,4.78,100,100,0,6,2,4,100,88.39779006,11.60220994,4.5,1.5,3
Mono 050,543,480,63,1600,42.3,37.55,4.75,99,100,-1,4,3,1,99,88.39779006,10.60220994,3.2,2.4,0.8
Mono 050,543,480,63,1700,42.31,37.53,4.78,100,100,0,5,2,3,100,88.39779006,11.60220994,4.25,1.7,2.55
Mono 050,543,480,63,1800,42.32,37.53,4.79,100,99,1,5,1,4,100,87.51381215,12.48618785,4.5,0.9,3.6
Mono 050,543,480,63,1900,42.32,37.54,4.78,99,100,-1,4,2,2,99,88.39779006,10.60220994,3.8,1.9,1.9
Mono 050,543,480,63,2000,42.33,37.56,4.77,100,100,0,4,0,4,100,88.39779006,11.60220994,4,0,4
Mono 110,266,177,89,1200,59.99,59.99,0,59,84,-25,59,60,-1,28.90239411,27.38121547,1.521178637,35.4,36,-0.6
Mono 110,266,177,89,1300,59.99,59.99,0,59,84,-25,57,57,0,28.90239411,27.38121547,1.521178637,37.05,37.05,0
Mono 110,266,177,89,1400,60.1,59.99,0.11,59,84,-25,57,58,-1,28.90239411,27.38121547,1.521178637,39.9,40.6,-0.7
Mono 110,266,177,89,1500,59.99,60.1,-0.11,59,84,-25,56,55,1,28.90239411,27.38121547,1.521178637,42,41.25,0.75
Mono 110,266,177,89,1600,59.99,60.1,-0.11,59,84,-25,55,54,1,28.90239411,27.38121547,1.521178637,44,43.2,0.8
Mono 110,266,177,89,1700,60,59.99,0.01,59,84,-25,50,50,0,28.90239411,27.38121547,1.521178637,42.5,42.5,0
Mono 110,266,177,89,1800,59.99,59.99,0,59,84,-25,49,49,0,28.90239411,27.38121547,1.521178637,44.1,44.1,0
Mono 110,266,177,89,1900,60.1,60,0.1,58,83,-25,46,45,1,28.41252302,27.05524862,1.357274401,43.7,42.75,0.95
Mono 110,266,177,89,2000,60,60,0,58,84,-26,45,45,0,28.41252302,27.38121547,1.031307551,45,45,0
Mono 110,350,177,173,1200,59.99,59.99,0,47,84,-37,53,60,-7,30.2946593,27.38121547,2.913443831,31.8,36,-4.2
Mono 110,350,177,173,1300,60,59.99,0.01,47,84,-37,52,57,-5,30.2946593,27.38121547,2.913443831,33.8,37.05,-3.25
Mono 110,350,177,173,1400,60.1,59.99,0.11,47,84,-37,51,58,-7,30.2946593,27.38121547,2.913443831,35.7,40.6,-4.9
Mono 110,350,177,173,1500,60.1,60.1,0,47,84,-37,50,55,-5,30.2946593,27.38121547,2.913443831,37.5,41.25,-3.75
Mono 110,350,177,173,1600,59.99,60.1,-0.11,47,84,-37,52,54,-2,30.2946593,27.38121547,2.913443831,41.6,43.2,-1.6
Mono 110,350,177,173,1700,60,59.99,0.01,47,84,-37,50,50,0,30.2946593,27.38121547,2.913443831,42.5,42.5,0
Mono 110,350,177,173,1800,59.98,59.99,-0.01,47,84,-37,51,49,2,30.2946593,27.38121547,2.913443831,45.9,44.1,1.8
Mono 110,350,177,173,1900,60,60,0,47,83,-36,47,45,2,30.2946593,27.05524862,3.239410681,44.65,42.75,1.9
Mono 110,350,177,173,2000,60,60,0,46,84,-38,45,45,0,29.65009208,27.38121547,2.268876611,45,45,0
Mono 110,420,177,243,1200,59.99,59.99,0,40,84,-44,51,60,-9,30.93922652,27.38121547,3.55801105,30.6,36,-5.4
Mono 110,420,177,243,1300,60,59.99,0.01,40,84,-44,48,57,-9,30.93922652,27.38121547,3.55801105,31.2,37.05,-5.85
Mono 110,420,177,243,1400,59.99,59.99,0,40,84,-44,51,58,-7,30.93922652,27.38121547,3.55801105,35.7,40.6,-4.9
Mono 110,420,177,243,1500,59.99,60.1,-0.11,40,84,-44,48,55,-7,30.93922652,27.38121547,3.55801105,36,41.25,-5.25
Mono 110,420,177,243,1600,60,60.1,-0.1,40,84,-44,46,54,-8,30.93922652,27.38121547,3.55801105,36.8,43.2,-6.4
Mono 110,420,177,243,1700,59.99,59.99,0,40,84,-44,45,50,-5,30.93922652,27.38121547,3.55801105,38.25,42.5,-4.25
Mono 110,420,177,243,1800,60,59.99,0.01,40,84,-44,50,49,1,30.93922652,27.38121547,3.55801105,45,44.1,0.9
Mono 110,420,177,243,1900,59.99,60,-0.01,40,83,-43,50,45,5,30.93922652,27.05524862,3.883977901,47.5,42.75,4.75
Mono 110,420,177,243,2000,59.99,60,-0.01,40,84,-44,45,45,0,30.93922652,27.38121547,3.55801105,45,45,0
Mono 110,480,177,303,1200,60,59.99,0.01,36,84,-48,53,60,-7,31.82320442,27.38121547,4.44198895,31.8,36,-4.2
Mono 110,480,177,303,1300,60,59.99,0.01,36,84,-48,51,57,-6,31.82320442,27.38121547,4.44198895,33.15,37.05,-3.9
Mono 110,480,177,303,1400,60,59.99,0.01,36,84,-48,51,58,-7,31.82320442,27.38121547,4.44198895,35.7,40.6,-4.9
Mono 110,480,177,303,1500,59.99,60.1,-0.11,36,84,-48,49,55,-6,31.82320442,27.38121547,4.44198895,36.75,41.25,-4.5
Mono 110,480,177,303,1600,59.99,60.1,-0.11,36,84,-48,46,54,-8,31.82320442,27.38121547,4.44198895,36.8,43.2,-6.4
Mono 110,480,177,303,1700,60,59.99,0.01,36,84,-48,45,50,-5,31.82320442,27.38121547,4.44198895,38.25,42.5,-4.25
Mono 110,480,177,303,1800,59.99,59.99,0,36,84,-48,50,49,1,31.82320442,27.38121547,4.44198895,45,44.1,0.9
Mono 110,480,177,303,1900,60.1,60,0.1,36,83,-47,48,45,3,31.82320442,27.05524862,4.767955801,45.6,42.75,2.85
Mono 110,480,177,303,2000,59.99,60,-0.01,36,84,-48,46,45,1,31.82320442,27.38121547,4.44198895,46,45,1
Mono 110,543,177,366,1200,59.99,59.99,0,33,84,-51,53,60,-7,33,27.38121547,5.61878453,31.8,36,-4.2
Mono 110,543,177,366,1300,59.99,59.99,0,33,84,-51,51,57,-6,33,27.38121547,5.61878453,33.15,37.05,-3.9
Mono 110,543,177,366,1400,59.99,59.99,0,33,84,-51,51,58,-7,33,27.38121547,5.61878453,35.7,40.6,-4.9
Mono 110,543,177,366,1500,59.99,60.1,-0.11,33,84,-51,49,55,-6,33,27.38121547,5.61878453,36.75,41.25,-4.5
Mono 110,543,177,366,1600,59.99,60.1,-0.11,33,84,-51,48,54,-6,33,27.38121547,5.61878453,38.4,43.2,-4.8
